"Name","Loop","FollowParent","ShakeScreen","Time","RenderableScale","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","Scale","TextInstanceName","TextParentInstanceName","EnemyVersion","FlashWidth","KillLoopingSoundsOnEnd","OutputEvent","ParentLookAtOffsetRadius","Shadow"
"string","boolean","boolean","int","int","int","string","string","string","string","string","string","string","int","string","string","string","int","boolean","string","int","boolean"
"upgradeCard_start",,,,,,"sound_upgradeCard_start","SWF",,,,,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"ArcherTower_particle1",,"Above",,,,,,,,,
"upgradeCard_ready",,,,,,"sound_upgradeCard_ready","SWF",,,,,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"Card_upgraded_effect1",,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,,,
,,,,3200,,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,,,
,,,,6400,,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,,,
,,,,9600,,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"Card_upgrade_effect3",,"Above",,,,,,,,,
"upgradeCard_stat_appear",,,,,,"sound_upgradeCard_stat_appear","SWF",,,,,"Above",,,,,,,,,
"upgradeCard_stat_change",,,,,,"sound_upgradeCard_stat_change","SWF",,,,,"Above",,,,,,,,,
"openChest_wood",,,,,,"sound_openChest_wood","SWF",,,,,"Above",,,,,,,,,
"openChest_iron",,,,,,"sound_openChest_iron","SWF",,,,,"Above",,,,,,,,,
"openChest_gold",,,,,,"sound_openChest_gold","SWF",,,,,"Above",,,,,,,,,
"openChest_magical",,,,,,"sound_openChest_magical","SWF",,,,,"Above",,,,,,,,,
"openChest_star",,,,,,"sound_openChest_star","SWF",,,,,"Above",,,,,,,,,
"openChest_draft",,,,,,"sound_openChest_champion","SWF",,,,,"Above",,,,,,,,,
"openChest_get_gold",,,,,,"sound_openChest_get_gold","SWF",,,,,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,,,
"openChest_get_gem",,,,,,"sound_openChest_get_gem","SWF",,,,,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,,,
"openChest_get_common",,,,,,"sound_openChest_get_common","SWF",,,,,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,,,
"openChest_get_rare",,,,,,"sound_openChest_get_rare","SWF",,,,,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"openChest_get_rare",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,,,
"openChest_get_epic",,,,,,"sound_openChest_get_epic","SWF",,,,,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"openChest_epic_stars2",,"Above",,,,,,,,,
"openChest_loop_gold",,,,,,"sound_openChest_loop_gold","SWF",,,,,"Above",,,,,,,,,
"openChest_loop_gem",,,,,,"sound_openChest_loop_gem","SWF",,,,,"Above",,,,,,,,,
"openChest_loop_common",,,,,,"sound_openChest_loop_common","SWF",,,,,"Above",,,,,,,,,
"openChest_loop_rare","true",,,,,"sound_openChest_loop_rare","SWF",,,,,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"BlueSparksEmitter",,"Base",,,,,,,,,
"openChest_loop_epic","true",,,,,"sound_openChest_loop_epic","SWF",,,,,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"openChest_epic_loop1",,"Object",,,,,,,,,
"musketeer_deploy",,,,,,"sound_musketeer_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,"sound_musketeer_deploy_end","SWF",,,,,"Object",,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,
"musketeer_steps",,,,,,"sound_musketeer_steps","SWF",,,,,"Ground",100,,,,,,,,
"musketeer_attack",,,,,,"sound_musketeer_attack","SWF",,,,,"Object",100,,,,,,,,
"musketeer_attack_start",,,,,,"sound_musketeer_attack_start","SWF",,,,,"Object",100,,,,,,,,
"musketeer_hit",,,,,,"sound_musketeer_hit","SWF",,,,,"Object",100,,,,,,,,
"musketeer_die",,,,,,"sound_musketeer_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
"goblin_barrel_explosion",,,,,,"sound_goblin_barrel_explosion","ParticleEmitter",,,"TargetDummy_planks",,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"BlueSparkEmitter",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"catapult_rock_Emitter",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"TargetDummy_planks2",,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"knight_deploy_dustPuff2",,"Base",,,,,,,,,
"goblin_barrel_spawn",,,,,,"sound_goblin_barrel_spawn","SWF",,,,,"Object",,,,,,,,,
"knight_deploy",,,,,,"sound_knight_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,"sound_knight_deploy_end","SWF",,,,,"Object",,,,,,,,,
,,,,,,,"Effect",,,"knight_deploy_dustPuff2","Deploy_ground_fX_mediumSize","Object",,,,,,,,,
,,,,,,,,,,,,,60,,,,,,,,
,,,,,,,,,,,,,60,,,,,,,,
,,,,,,,,,,,,,60,,,,,,,,
"knight_steps",,,,,,"sound_knight_steps","ParticleEmitter",,,"knight_speps_dust1",,"Ground",100,,,,,,,,
"knight_attack_start",,,,,,"sound_knight_attack_start","Effect",,,,,"Object",100,,,,,,,,
"knight_hit",,,,,,"sound_knight_hit","SWF",,,,,"Object",100,,,,,,,,
"knight_die",,,,,,"sound_knight_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
,,,,,,,"ParticleEmitter",,,"knight_deploy_dustPuff1",,"Object",100,,,,,,,,
,,,,,,,"ParticleEmitter",,,"knight_die_particle_sword",,"Object",100,,,,,,,,
,,,,,,,,,,,,,100,,,,,,,,
"spear_goblin_deploy",,,,,,"sound_spear_goblin_deploy","SWF",,,,,"Object",100,,,,,,,,
"spear_goblin_steps",,,,,,"sound_spear_goblin_steps","SWF",,,,,"Ground",100,,,,,,,,
"spear_goblin_attack_start",,,,,,"sound_spear_goblin_attack_start","SWF",,,,,"Object",100,,,,,,,,
"spear_goblin_attack",,,,,,"sound_spear_goblin_attack","SWF",,,,,"Object",100,,,,,,,,
"spear_goblin_die",,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
